"id","tipo_incidente","canal_origem","volume_titulares","severidade_reputacional","ilr","resultado_final"
1001,"Falha_Cookies","E-commerce",2642,6,46.4,"Baixo_Risco"
1002,"Falha_Cookies","E-commerce",799,3,33.4,"Baixo_Risco"
1003,"Vazamento_API","E-commerce",10873,9,74.8,"Alto_Risco"
1004,"Vazamento_API","App_Mobile",9218,10,77.9,"Alto_Risco"
1005,"Falha_Cookies","Portal_Cliente",42599,8,76,"Alto_Risco"
1006,"Falha_Cookies","E-commerce",20696,7,60.1,"Medio_Risco"
1007,"Falha_Cookies","Portal_Cliente",31980,6,62.2,"Medio_Risco"
1008,"Falha_Cookies","Portal_Cliente",3188,6,46.7,"Medio_Risco"
1009,"Vazamento_API","Portal_Cliente",11177,9,75,"Alto_Risco"
1010,"Vazamento_API","E-commerce",24032,9,81.9,"Alto_Risco"
1011,"Ausencia_Termos","App_Mobile",33457,3,42,"Baixo_Risco"
1012,"Falha_Cookies","App_Mobile",26793,6,59.4,"Medio_Risco"
1013,"Falha_Cookies","E-commerce",44654,2,53.1,"Medio_Risco"
1014,"Ausencia_Termos","Portal_Cliente",14934,4,36,"Baixo_Risco"
1015,"Vazamento_API","E-commerce",40840,1,59,"Medio_Risco"
1016,"Vazamento_API","App_Mobile",25968,5,67,"Medio_Risco"
1017,"Ausencia_Termos","E-commerce",10483,5,37.6,"Baixo_Risco"
1018,"Falha_Cookies","E-commerce",14066,4,44.6,"Baixo_Risco"
1019,"Ausencia_Termos","E-commerce",9859,2,25.3,"Baixo_Risco"
1020,"Vazamento_API","E-commerce",44371,10,97,"Alto_Risco"
1021,"Falha_Cookies","E-commerce",48899,3,59.4,"Medio_Risco"
1022,"Vazamento_API","App_Mobile",43718,4,72.6,"Medio_Risco"
1023,"Falha_Cookies","E-commerce",34216,2,47.5,"Medio_Risco"
1024,"Falha_Cookies","Portal_Cliente",39238,4,58.2,"Medio_Risco"
1025,"Falha_Cookies","App_Mobile",15477,6,53.3,"Medio_Risco"
1026,"Vazamento_API","E-commerce",29724,2,57,"Medio_Risco"
1027,"Falha_Cookies","App_Mobile",3628,2,30.9,"Baixo_Risco"
1028,"Ausencia_Termos","E-commerce",29247,3,39.8,"Baixo_Risco"
1029,"Falha_Cookies","E-commerce",320,7,49.1,"Medio_Risco"
1030,"Ausencia_Termos","Portal_Cliente",29093,7,55.7,"Medio_Risco"
1031,"Falha_Cookies","App_Mobile",14825,4,45,"Medio_Risco"
1032,"Vazamento_API","E-commerce",38872,8,86,"Alto_Risco"
1033,"Vazamento_API","App_Mobile",14852,2,49,"Medio_Risco"
1034,"Vazamento_API","E-commerce",30647,9,85.5,"Alto_Risco"
1035,"Falha_Cookies","Portal_Cliente",30946,1,41.7,"Baixo_Risco"
1036,"Ausencia_Termos","E-commerce",15933,5,40.6,"Baixo_Risco"
1037,"Ausencia_Termos","Portal_Cliente",8701,7,44.7,"Baixo_Risco"
1038,"Vazamento_API","E-commerce",14739,7,68.9,"Baixo_Risco"
1039,"Vazamento_API","Portal_Cliente",16216,9,77.7,"Alto_Risco"
1040,"Ausencia_Termos","App_Mobile",1042,5,32.5,"Baixo_Risco"
1041,"Vazamento_API","Portal_Cliente",22402,7,73.1,"Alto_Risco"
1042,"Vazamento_API","App_Mobile",31582,9,86,"Medio_Risco"
1043,"Vazamento_API","App_Mobile",1832,6,57.9,"Medio_Risco"
1044,"Ausencia_Termos","Portal_Cliente",22324,8,56,"Medio_Risco"
1045,"Falha_Cookies","Portal_Cliente",17884,7,58.6,"Medio_Risco"
1046,"Vazamento_API","App_Mobile",38040,4,69.5,"Medio_Risco"
1047,"Vazamento_API","App_Mobile",20129,3,55.8,"Medio_Risco"
1048,"Falha_Cookies","Portal_Cliente",41453,8,75.4,"Alto_Risco"
1049,"Vazamento_API","App_Mobile",18803,2,51.1,"Medio_Risco"
1050,"Falha_Cookies","Portal_Cliente",877,8,53.4,"Medio_Risco"
1051,"Ausencia_Termos","App_Mobile",7396,6,39.9,"Baixo_Risco"
1052,"Falha_Cookies","E-commerce",30957,6,61.7,"Medio_Risco"
1053,"Vazamento_API","Portal_Cliente",13708,10,80.4,"Alto_Risco"
1054,"Ausencia_Termos","Portal_Cliente",10328,8,49.5,"Medio_Risco"
1055,"Falha_Cookies","Portal_Cliente",31326,3,49.9,"Baixo_Risco"
1056,"Vazamento_API","Portal_Cliente",17047,6,66.2,"Medio_Risco"
1057,"Falha_Cookies","E-commerce",6522,7,52.5,"Medio_Risco"
1058,"Falha_Cookies","App_Mobile",12944,3,39.9,"Baixo_Risco"
1059,"Falha_Cookies","E-commerce",28128,3,48.2,"Medio_Risco"
1060,"Ausencia_Termos","E-commerce",21420,8,55.5,"Medio_Risco"
1061,"Vazamento_API","Portal_Cliente",46096,5,77.9,"Alto_Risco"
1062,"Vazamento_API","Portal_Cliente",31817,5,70.2,"Medio_Risco"
1063,"Falha_Cookies","E-commerce",2265,6,46.2,"Medio_Risco"
1064,"Ausencia_Termos","App_Mobile",39597,3,45.4,"Medio_Risco"
1065,"Ausencia_Termos","App_Mobile",33974,2,38.3,"Baixo_Risco"
1066,"Falha_Cookies","App_Mobile",31862,6,62.2,"Medio_Risco"
1067,"Vazamento_API","Portal_Cliente",45143,7,85.4,"Alto_Risco"
1068,"Vazamento_API","Portal_Cliente",31269,8,81.9,"Alto_Risco"
