"id_incidente","data_registro","tipo_incidente","volume_titulares","severidade_reputacional","canal_origem","regra_j48_weka","probabilidade_perda"
1001,"2036-03-18","Vazamento_API",8500,7,"E-commerce","Alto_Risco_Sancao",0.76
1002,"2029-12-15","Falha_Cookies",9699,5,"E-commerce","Medio_Risco",0.53
1003,"2033-06-21","Vazamento_API",4736,10,"E-commerce","Alto_Risco_Sancao",0.88
1004,"2031-12-02","Vazamento_API",8468,7,"Portal_Cliente","Alto_Risco_Sancao",0.93
1005,"2030-10-08","Vazamento_API",6256,9,"E-commerce","Alto_Risco_Sancao",0.77
1006,"2037-01-28","Falha_Cookies",5051,6,"E-commerce","Medio_Risco",0.6
1007,"2035-06-26","Vazamento_API",7455,9,"Portal_Cliente","Alto_Risco_Sancao",0.93
1008,"2026-03-18","Ausencia_Termos",2593,8,"E-commerce","Baixo_Risco",0.21
1009,"2038-05-29","Falha_Cookies",7550,3,"E-commerce","Baixo_Risco",0.45
1010,"2025-02-22","Vazamento_API",8393,7,"E-commerce","Alto_Risco_Sancao",0.84
1011,"2035-10-02","Ausencia_Termos",4125,1,"E-commerce","Baixo_Risco",0.33
1012,"2031-12-05","Vazamento_API",8968,9,"Portal_Cliente","Alto_Risco_Sancao",0.84
1013,"2026-11-23","Vazamento_API",6381,9,"E-commerce","Alto_Risco_Sancao",0.87
1014,"2027-07-13","Falha_Cookies",9302,5,"Portal_Cliente","Medio_Risco",0.52
1015,"2033-01-27","Vazamento_API",2554,9,"E-commerce","Alto_Risco_Sancao",0.89
1016,"2030-11-28","Ausencia_Termos",435,8,"E-commerce","Baixo_Risco",0.24
1017,"2028-10-30","Vazamento_API",4194,9,"E-commerce","Alto_Risco_Sancao",0.96
1018,"2028-07-16","Vazamento_API",9606,9,"E-commerce","Alto_Risco_Sancao",0.91
1019,"2035-12-08","Ausencia_Termos",2558,7,"E-commerce","Baixo_Risco",0.31
1020,"2025-12-14","Ausencia_Termos",8628,5,"Portal_Cliente","Medio_Risco",0.65
1021,"2035-04-07","Vazamento_API",6683,9,"E-commerce","Alto_Risco_Sancao",0.97
1022,"2025-11-23","Falha_Cookies",6889,6,"E-commerce","Medio_Risco",0.52
1023,"2032-10-06","Falha_Cookies",2854,1,"Portal_Cliente","Baixo_Risco",0.32
1024,"2031-02-07","Falha_Cookies",5949,6,"Portal_Cliente","Medio_Risco",0.57
1025,"2032-12-03","Falha_Cookies",2257,2,"Portal_Cliente","Baixo_Risco",0.07
1026,"2026-01-11","Vazamento_API",6722,9,"E-commerce","Alto_Risco_Sancao",0.88
1027,"2029-07-18","Vazamento_API",6942,7,"App_Mobile","Alto_Risco_Sancao",0.94
1028,"2034-04-13","Vazamento_API",6514,8,"E-commerce","Alto_Risco_Sancao",0.91
1029,"2026-11-29","Falha_Cookies",4065,9,"Portal_Cliente","Baixo_Risco",0.37
1030,"2035-07-26","Vazamento_API",8278,10,"E-commerce","Alto_Risco_Sancao",0.79
1031,"2036-10-06","Falha_Cookies",3178,3,"Portal_Cliente","Baixo_Risco",0.2
1032,"2033-06-06","Vazamento_API",7022,7,"Portal_Cliente","Alto_Risco_Sancao",0.8
1033,"2033-12-31","Falha_Cookies",1082,1,"E-commerce","Baixo_Risco",0.33
1034,"2034-05-20","Falha_Cookies",1685,5,"App_Mobile","Baixo_Risco",0.23
1035,"2025-06-06","Ausencia_Termos",9999,3,"E-commerce","Baixo_Risco",0.36
1036,"2036-07-06","Vazamento_API",6531,7,"Portal_Cliente","Alto_Risco_Sancao",0.89
1037,"2027-04-16","Falha_Cookies",4140,5,"App_Mobile","Baixo_Risco",0.39
1038,"2036-06-17","Ausencia_Termos",7448,9,"E-commerce","Medio_Risco",0.69
1039,"2031-05-03","Falha_Cookies",3908,9,"Portal_Cliente","Baixo_Risco",0.39
1040,"2027-06-18","Ausencia_Termos",2654,4,"E-commerce","Baixo_Risco",0.16
1041,"2028-09-05","Falha_Cookies",4094,7,"E-commerce","Baixo_Risco",0.08
1042,"2025-07-05","Ausencia_Termos",3192,6,"E-commerce","Baixo_Risco",0.34
1043,"2033-12-03","Vazamento_API",4986,10,"E-commerce","Alto_Risco_Sancao",0.84
1044,"2033-05-29","Falha_Cookies",1988,7,"Portal_Cliente","Baixo_Risco",0.16
1045,"2030-12-21","Falha_Cookies",3507,9,"App_Mobile","Baixo_Risco",0.16
1046,"2036-02-29","Vazamento_API",7655,7,"E-commerce","Alto_Risco_Sancao",0.76
1047,"2028-12-27","Vazamento_API",4922,7,"E-commerce","Alto_Risco_Sancao",0.85
1048,"2036-08-04","Vazamento_API",7026,7,"Portal_Cliente","Alto_Risco_Sancao",0.9
1049,"2026-05-22","Vazamento_API",5363,7,"App_Mobile","Alto_Risco_Sancao",0.87
1050,"2027-09-23","Vazamento_API",2619,9,"E-commerce","Alto_Risco_Sancao",0.91
1051,"2030-03-23","Falha_Cookies",1988,9,"Portal_Cliente","Baixo_Risco",0.29
1052,"2032-09-08","Falha_Cookies",4422,3,"E-commerce","Baixo_Risco",0.35
1053,"2028-04-08","Ausencia_Termos",847,7,"Portal_Cliente","Baixo_Risco",0.45
1054,"2037-01-04","Falha_Cookies",8081,6,"E-commerce","Medio_Risco",0.65
1055,"2036-07-10","Vazamento_API",6894,10,"Portal_Cliente","Alto_Risco_Sancao",0.94
1056,"2028-08-13","Falha_Cookies",9382,6,"E-commerce","Medio_Risco",0.62
1057,"2027-04-14","Ausencia_Termos",1553,4,"E-commerce","Baixo_Risco",0.26
1058,"2032-10-07","Falha_Cookies",9669,2,"Portal_Cliente","Baixo_Risco",0.31
1059,"2033-05-18","Vazamento_API",4695,6,"App_Mobile","Baixo_Risco",0.22
1060,"2026-01-21","Ausencia_Termos",2732,5,"Portal_Cliente","Baixo_Risco",0.47
1061,"2038-06-28","Falha_Cookies",8027,10,"E-commerce","Medio_Risco",0.55
1062,"2038-06-03","Vazamento_API",8732,9,"Portal_Cliente","Alto_Risco_Sancao",0.91
1063,"2037-10-12","Falha_Cookies",5133,4,"App_Mobile","Baixo_Risco",0.18
1064,"2027-08-24","Ausencia_Termos",2868,8,"E-commerce","Baixo_Risco",0.35
1065,"2034-08-27","Ausencia_Termos",3196,6,"E-commerce","Baixo_Risco",0.18
1066,"2029-08-25","Ausencia_Termos",1671,9,"Portal_Cliente","Baixo_Risco",0.06
1067,"2027-04-20","Falha_Cookies",4331,5,"Portal_Cliente","Baixo_Risco",0.36
1068,"2031-02-17","Vazamento_API",5777,8,"App_Mobile","Alto_Risco_Sancao",0.87
1069,"2033-06-27","Vazamento_API",8707,9,"Portal_Cliente","Alto_Risco_Sancao",0.86
1070,"2026-05-10","Vazamento_API",9154,9,"App_Mobile","Alto_Risco_Sancao",0.84
1071,"2026-10-28","Vazamento_API",3171,6,"Portal_Cliente","Baixo_Risco",0.32
1072,"2037-06-13","Vazamento_API",2582,7,"E-commerce","Alto_Risco_Sancao",0.83
1073,"2033-03-17","Falha_Cookies",8335,8,"Portal_Cliente","Medio_Risco",0.57
1074,"2031-05-27","Vazamento_API",2604,7,"Portal_Cliente","Alto_Risco_Sancao",0.93
1075,"2025-08-07","Falha_Cookies",1224,1,"E-commerce","Baixo_Risco",0.38
1076,"2034-01-06","Falha_Cookies",678,10,"E-commerce","Baixo_Risco",0.19
1077,"2033-05-07","Ausencia_Termos",7174,5,"E-commerce","Medio_Risco",0.64
1078,"2026-11-03","Falha_Cookies",1356,2,"E-commerce","Baixo_Risco",0.18
1079,"2031-05-27","Ausencia_Termos",6783,3,"E-commerce","Baixo_Risco",0.27
1080,"2034-03-16","Ausencia_Termos",9421,9,"App_Mobile","Medio_Risco",0.7
1081,"2036-12-27","Vazamento_API",3985,7,"Portal_Cliente","Alto_Risco_Sancao",0.75
1082,"2031-02-04","Ausencia_Termos",3278,7,"Portal_Cliente","Baixo_Risco",0.21
1083,"2038-07-15","Ausencia_Termos",6467,4,"E-commerce","Baixo_Risco",0.49
1084,"2026-01-09","Vazamento_API",9113,7,"App_Mobile","Alto_Risco_Sancao",0.88
1085,"2033-06-16","Vazamento_API",5279,8,"Portal_Cliente","Alto_Risco_Sancao",0.96
1086,"2037-12-30","Vazamento_API",8744,8,"E-commerce","Alto_Risco_Sancao",0.95
1087,"2034-03-30","Falha_Cookies",6639,1,"E-commerce","Baixo_Risco",0.27
1088,"2037-05-04","Vazamento_API",4200,8,"E-commerce","Alto_Risco_Sancao",0.8
1089,"2025-01-02","Vazamento_API",2657,9,"Portal_Cliente","Alto_Risco_Sancao",0.8
1090,"2035-05-10","Ausencia_Termos",9116,2,"E-commerce","Baixo_Risco",0.18
1091,"2037-03-29","Ausencia_Termos",4516,9,"Portal_Cliente","Baixo_Risco",0.28
1092,"2029-05-21","Falha_Cookies",2332,8,"E-commerce","Baixo_Risco",0.15
1093,"2027-07-31","Ausencia_Termos",9339,6,"E-commerce","Medio_Risco",0.54
1094,"2036-12-18","Falha_Cookies",4407,3,"E-commerce","Baixo_Risco",0.16
1095,"2026-07-23","Vazamento_API",6863,8,"E-commerce","Alto_Risco_Sancao",0.83
1096,"2026-01-01","Vazamento_API",5089,6,"Portal_Cliente","Medio_Risco",0.54
1097,"2031-06-10","Falha_Cookies",1687,7,"Portal_Cliente","Baixo_Risco",0.28
1098,"2031-06-17","Vazamento_API",8671,6,"App_Mobile","Medio_Risco",0.51
1099,"2027-04-20","Ausencia_Termos",7713,4,"E-commerce","Baixo_Risco",0.29
1100,"2031-07-09","Falha_Cookies",8642,10,"E-commerce","Medio_Risco",0.56
1101,"2037-04-22","Ausencia_Termos",9606,4,"Portal_Cliente","Baixo_Risco",0.33
1102,"2038-02-06","Ausencia_Termos",2515,8,"E-commerce","Baixo_Risco",0.08
1103,"2037-11-27","Falha_Cookies",4634,8,"E-commerce","Baixo_Risco",0.19
1104,"2037-06-25","Vazamento_API",8936,6,"E-commerce","Medio_Risco",0.74
1105,"2034-09-06","Vazamento_API",8305,8,"Portal_Cliente","Alto_Risco_Sancao",0.96
1106,"2025-10-09","Falha_Cookies",7100,3,"App_Mobile","Baixo_Risco",0.48
1107,"2030-08-11","Falha_Cookies",3757,3,"E-commerce","Baixo_Risco",0.1
1108,"2026-12-26","Ausencia_Termos",9703,1,"E-commerce","Baixo_Risco",0.44
1109,"2034-04-13","Ausencia_Termos",3781,3,"E-commerce","Baixo_Risco",0.37
1110,"2036-07-14","Ausencia_Termos",4689,6,"E-commerce","Baixo_Risco",0.44
1111,"2031-08-03","Ausencia_Termos",5021,3,"App_Mobile","Baixo_Risco",0.25
1112,"2026-04-02","Falha_Cookies",3407,2,"Portal_Cliente","Baixo_Risco",0.18
1113,"2034-09-19","Falha_Cookies",1975,8,"E-commerce","Baixo_Risco",0.49
1114,"2026-11-15","Falha_Cookies",6404,6,"Portal_Cliente","Medio_Risco",0.58
1115,"2031-01-31","Falha_Cookies",8163,10,"Portal_Cliente","Medio_Risco",0.5
1116,"2036-08-05","Ausencia_Termos",1548,7,"Portal_Cliente","Baixo_Risco",0.14
1117,"2035-06-13","Ausencia_Termos",9481,4,"App_Mobile","Baixo_Risco",0.25
1118,"2030-11-07","Ausencia_Termos",822,7,"E-commerce","Baixo_Risco",0.42
1119,"2030-09-28","Ausencia_Termos",8185,2,"App_Mobile","Baixo_Risco",0.17
1120,"2037-07-04","Vazamento_API",6809,9,"E-commerce","Alto_Risco_Sancao",0.89
1121,"2026-10-22","Falha_Cookies",2234,2,"E-commerce","Baixo_Risco",0.4
1122,"2034-05-03","Falha_Cookies",1921,6,"E-commerce","Baixo_Risco",0.35
1123,"2035-08-04","Ausencia_Termos",6195,8,"E-commerce","Medio_Risco",0.74
1124,"2033-08-25","Ausencia_Termos",9683,4,"E-commerce","Baixo_Risco",0.23
1125,"2028-08-09","Falha_Cookies",7590,6,"App_Mobile","Medio_Risco",0.58
1126,"2032-06-27","Vazamento_API",5874,8,"Portal_Cliente","Alto_Risco_Sancao",0.97
1127,"2027-11-28","Falha_Cookies",1921,4,"E-commerce","Baixo_Risco",0.39
1128,"2025-06-07","Ausencia_Termos",1572,8,"E-commerce","Baixo_Risco",0.49
1129,"2031-06-29","Falha_Cookies",6407,7,"Portal_Cliente","Medio_Risco",0.66
1130,"2028-05-16","Vazamento_API",2947,8,"Portal_Cliente","Alto_Risco_Sancao",0.85
1131,"2038-02-09","Vazamento_API",4191,8,"Portal_Cliente","Alto_Risco_Sancao",0.84
1132,"2033-06-26","Vazamento_API",9943,9,"App_Mobile","Alto_Risco_Sancao",0.89
1133,"2026-10-20","Vazamento_API",3319,7,"App_Mobile","Alto_Risco_Sancao",0.8
1134,"2029-11-01","Ausencia_Termos",9434,5,"E-commerce","Medio_Risco",0.51
1135,"2027-06-20","Vazamento_API",7362,9,"App_Mobile","Alto_Risco_Sancao",0.97
1136,"2035-07-20","Falha_Cookies",3177,7,"App_Mobile","Baixo_Risco",0.18
1137,"2032-11-24","Vazamento_API",7520,7,"E-commerce","Alto_Risco_Sancao",0.81
1138,"2030-04-17","Falha_Cookies",8360,5,"E-commerce","Medio_Risco",0.69
1139,"2033-03-16","Falha_Cookies",5862,2,"Portal_Cliente","Baixo_Risco",0.16
1140,"2031-09-21","Falha_Cookies",8309,8,"E-commerce","Medio_Risco",0.71
